Title,Description,Link,Guid
Andrew's move out of Royal Lodge may not happen until new year,"There are also no plans to formally remove Andrew from the line of succession, the government says.",https://www.bbc.com/news/articles/c2emmdnw82yo?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c2emmdnw82yo#0
"Why Sarah Ferguson, Beatrice and Eugenie can't escape the taint of family scandal",The scandal engulfing Andrew is of his own making but has had a profound impact on his immediate family.,https://www.bbc.com/news/articles/cy8vrzpgxnro?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/cy8vrzpgxnro#0
"'We need food, we have no food' - desperation takes hold in Jamaica after hurricane","People in Black River have not seen any aid, telling the BBC that they are fighting to survive.",https://www.bbc.com/news/articles/c0jdd186l0go?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c0jdd186l0go#0
Cruise cancelled following death of woman left behind on island,The Coral Adventurer was just two days into a 60-day voyage at the time of Suzanne Rees' death.,https://www.bbc.com/news/articles/c5y44ly3vg2o?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c5y44ly3vg2o#0
Samia wins Tanzania election with 98% of votes amid unrest ,Demonstrations continued on Friday as young protesters denounced the election as unfair. ,https://www.bbc.com/news/articles/cm2ww0e0jewo?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/cm2ww0e0jewo#0
Halloween 2025: All the celebrity costumes at Heidi Klum's party,Stars showed out in their Halloween best at Heidi Klum's annual party.,https://www.bbc.com/news/articles/c4gpwn5v072o?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c4gpwn5v072o#0
Strictly pros transform into ghouls for Halloween week - and a Celebrity Traitor guest stars,It comes as speculation continues over who will replace presenters Tess Daly and Claudia Winkleman.,https://www.bbc.com/news/articles/c2lp72n0p0vo?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c2lp72n0p0vo#0
How will Andrew's titles be removed and what happens next?,"The language of Buckingham Palace's statement is ""very brutal"", royal historian Kelly Swaby tells the BBC.",https://www.bbc.com/news/articles/c5ylk9r336zo?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c5ylk9r336zo#1
The King is expected to fund Andrew's move - but where does he get his money?,"The language of Buckingham Palace's statement is ""very brutal"", royal historian Kelly Swaby tells the BBC.",https://www.bbc.com/news/articles/cwy5lzq94gqo?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/cwy5lzq94gqo#1
The houses on the sprawling Sandringham Estate that could become Andrew's next home,The sprawling Norfolk estate is home to several properties - here is a look at where Andrew might be moving in.,https://www.bbc.com/news/articles/c201zvrpvw9o?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c201zvrpvw9o#1
Is this finally rock bottom for Mr Andrew Mountbatten Windsor?,"Stripping Andrew of the title 'prince' is colossal, says the BBC's royal correspondent Sean Coughlan.",https://www.bbc.com/news/articles/c62elnjnqqxo?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c62elnjnqqxo#1
"At 21, I was crushed by a stranger's joke about going bald. Then the way I looked at myself changed","There are multiple ways for men to combat hair loss now, but should they have to? ",https://www.bbc.com/news/articles/c993ygv9g25o?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/c993ygv9g25o#3
The Papers: 'Downfall of a prince' and 'something completely Python',The loss of Andrew's titles continues to dominate the papers on Saturday morning.,https://www.bbc.com/news/articles/crmxx7jnpw3o?at_medium=RSS&at_campaign=rss,https://www.bbc.com/news/articles/crmxx7jnpw3o#3
