country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0,0,0,0.0,Asia
Albania,89,132,54,4.9,Europe
Algeria,25,14,14,0.7,Africa
Argentina,193,25,221,8.3,South America
Australia,261,72,212,10.4,Oceania
Austria,279,75,191,9.7,Europe
Bangladesh,0,0,0,0.0,Asia
Belgium,295,84,212,10.5,Europe
Brazil,245,145,16,7.2,South America
Canada,240,122,100,8.2,North America
Chile,130,124,172,7.6,South America
China,79,37,8,1.5,Asia
Colombia,159,76,3,4.2,South America
Czech Republic,361,170,134,11.8,Europe
Denmark,224,81,278,10.4,Europe
Egypt,6,4,1,0.1,Africa
Finland,263,133,97,10.0,Europe
France,127,151,370,11.8,Europe
Germany,346,117,175,11.3,Europe
Greece,133,112,218,8.3,Europe
India,9,3,0,0.2,Asia
Indonesia,1,5,0,0.1,Asia
Ireland,313,118,165,11.4,Europe
Italy,85,42,237,6.5,Europe
Japan,77,45,27,7.0,Asia
Mexico,235,68,5,6.5,North America
New Zealand,251,89,197,10.9,Oceania
Nigeria,42,56,0,1.2,Africa
Russia,247,326,73,11.5,Europe
South Africa,225,76,46,9.5,Africa
Spain,284,100,312,10.0,Europe
Sweden,152,60,186,7.2,Europe
Thailand,99,101,1,4.6,Asia
United Kingdom,219,126,195,10.4,Europe
United States,249,158,84,9.2,North America
Vietnam,168,2,1,3.8,Asia
